t,ax,ay,az,wx,wy,wz,s
638.530075073,-15008,-696,-2516,1131,-2258,7914,0
638.639588118,-15416,508,-1972,-2532,-7891,5409,0
638.749186993,-14256,-840,-4608,-2200,-9447,6786,0
638.858685017,-16268,-2620,-3060,933,-2545,4614,0
638.968147039,-20812,-17992,-13168,73,10401,-5084,0
639.078153133,-20732,-2780,3716,-11478,8510,-12415,0
639.187266111,-17112,3668,684,-11933,7584,-18858,0
639.295390129,-15292,3672,-2016,-6121,1047,-14138,0
639.403306007,-14944,-20,548,-3499,-1653,-11279,0
639.511224031,-10196,-12408,-10396,-523,-3083,-3168,0
639.619433165,-7056,1024,-10276,15439,2306,13720,0
639.727556944,-20464,-2596,4812,18480,9123,10638,0
639.835500002,-14856,-2748,-1376,1564,-7544,7587,1
639.943407059,-15060,-2792,-864,7260,-5639,9883,0
640.051274061,-14332,-28,-160,-590,-8525,6272,0
640.160900116,-16436,-5636,-6336,3402,-4321,4982,0
640.270417929,-20072,276,-10784,7491,18240,-5508,0
640.379966021,-23604,-1628,3852,-5044,11407,-11589,0
640.489475012,-14360,4192,2092,-1926,6834,-12870,0
640.599121094,-7528,4492,812,132,399,-9419,0
640.70859313,-12304,-5624,-10876,-4982,-6999,-7751,0
640.818114042,-14624,500,-2276,-4878,-2445,853,0
640.927679062,-10616,-4900,2252,-13729,-793,8142,1
641.03716898,-18916,-652,-3688,5936,-7252,7801,0
641.146680117,-14616,692,-1724,5563,-8306,7294,0
641.256181955,-14992,-2888,-2788,-453,-10378,4887,0
641.369581938,-15584,-1688,-2816,2723,-4305,4955,0
641.479144096,-22772,-17492,-11248,8413,10835,3175,0
641.58863616,-22376,-1488,1084,-4319,11971,-9357,0
641.698117971,-16212,4480,1320,-5893,11209,-13953,0
641.807666063,-12584,3476,-648,-2292,5052,-9621,0
641.917062044,-15688,1724,-5100,-4761,-5177,-10057,0
642.026442051,-14284,-4964,-4536,-6517,-2952,-3755,0
642.135887146,-19416,11876,2108,-27717,11118,-426,0
642.245407104,-17456,-2256,-3852,-2765,-11217,5303,1
642.354817152,-13876,-2972,-2552,-7088,-7450,3152,0
642.464255095,-14856,-2400,-3664,-1999,-8350,7006,0
642.573862076,-13116,-2988,-7224,-5519,-5568,4868,0
642.683279991,-15368,-11976,-13356,-2287,1463,3684,0
642.792618036,-25268,-788,8520,-12702,21408,-18370,0
642.90198493,-19876,-420,5872,-19109,9152,-22461,0
643.011510134,-16856,2988,3024,-19296,850,-19342,0
643.121111155,-14520,-672,-144,-8577,-2984,-15073,0
643.230690002,-13668,-3968,-312,-9581,-4925,-11360,0
